00 07 17.4|+27 42 21|   1| | 5|13.5
00 07 17.4|+27 40 21|   2| | 5|15.0
00 07 17.1|+08 17 21|   3| | 5|14.5
00 08 11.1|+08 09 21|   4| | 5|
00 07 47.7|+35 21 21|   5| | 5|14.5
00 08 17.6|+32 30 21|   6| | 7|
00 08 22.3|-29 54 39|   7| | 5|13.0
00 08 47.5|+23 50 21|   8| | 5|15.0
00 08 53.5|+23 48 21|   9| | 5|14.5
00 08 40.1|-33 52 39|  10| | 5|
00 08 41.8|+37 26 21|  11| | 5|14.5
00 08 47.0|+04 36 21|  12| | 5|14.5
00 08 47.7|+33 25 21|  13| | 5|14.0
00 08 41.3|+15 48 21|  14| | 5|13.5
00 09 05.4|+21 36 21|  15| | 5|15.0
00 09 05.6|+27 43 21|  16| | 5|13.0
00 09 04.7|-12 07 39|  17| | 7|
00 09 23.6|+27 43 21|  18| | 7|
00 09 23.7|+32 50 21|  19| | 7|
00 09 35.8|+33 18 21|  20| | 5|14.5
00 10 41.9|+32 58 20|  21| | 5|14.0
00 09 47.6|+27 50 21|  22| | 5|15.0
00 09 53.6|+25 55 21|  23| | 5|13.0
00 09 58.3|-24 58 39|  24| | 5|12.0
00 09 56.8|-57 02 39|  25| | 5|
00 10 23.6|+25 49 21|  26| | 5|14.0
00 10 29.7|+29 00 21|  27| | 5|14.5F
00 10 20.7|-57 00 39|  28| | 5|
00 10 47.9|+33 21 20|  29| | 5|13.5
00 10 47.5|+21 57 21|  30| | 7|
00 10 32.7|-56 59 39|  31| | 5|
00 10 53.4|+18 47 21|  32| | 7|
00 10 53.0|+03 40 21|  33| | 7|
00 11 04.6|-12 05 39|  34| | 5|13.0
00 11 10.6|-11 59 39|  35| | 5|14.0
00 11 17.1|+06 24 21|  36| | 5|14.5
00 11 20.5|-56 57 39|  37| | 5|
00 11 52.8|-05 35 39|  38| | 5|13.5
00 12 17.9|+31 03 20|  39| | 5|14.5
00 13 04.6|+72 31 20|  40| | 4|10.0
00 12 47.6|+22 02 20|  41| | 5|14.5
00 12 53.7|+22 06 20|  42| | 5|15.0
00 13 00.0|+30 54 20|  43| | 5|14.0
00 13 06.0|+31 17 20|  44| | 7|
00 13 58.1|-23 10 40|  45| | 5|11.0
00 14 05.1|+05 59 20|  46| | 7|
00 14 28.7|-07 10 40|  47| | 5|13.0
00 14 01.1|+48 13 20|  48| | 5|15.0
00 14 19.2|+48 14 20|  49| | 5|15.5
00 14 40.7|-07 20 40|  50| | 5|12.0
00 14 31.2|+48 15 20|  51| | 5|14.5
00 14 35.6|+18 33 20|  52| | 5|14.5
00 14 43.3|-60 19 40|  53| | 0|
00 15 04.7|-07 07 40|  54| | 5|14.0
00 15 03.2|-39 13 40|  55| | 5| 8.0
00 15 23.4|+12 26 20|  56| | 7|
00 15 23.6|+17 18 20|  57| | 5|13.5
00 15 40.6|-07 10 40|  58| | 7|
00 15 28.1|-21 26 40|  59| | 5|13.0
00 15 58.9|-00 17 40|  60| | 5|15.5
00 16 28.7|-06 13 40|  61|A| 5|15.0
00 16 28.7|-06 13 40|  61|B| 5|15.5
00 17 04.4|-13 27 40|  62| | 5|14.0
00 17 47.4|+11 26 20|  63| | 5|12.5
00 17 28.6|-06 50 40|  64| | 5|14.0
00 19 03.8|-22 53 40|  65| | 5|15.0
00 19 09.8|-22 56 40|  66| | 5|14.0
00 18 12.4|+30 03 19|  67| | 5|15.5
00 18 18.4|+30 04 19|  68| | 5|14.5
00 18 18.4|+30 02 19|  69| | 5|15.5
00 18 24.4|+30 04 19|  70| | 5|14.5
00 18 24.4|+30 03 19|  71| | 5|15.0
00 18 30.4|+30 02 19|  72| | 5|15.0
00 18 36.4|+30 02 19|  72|A| 5|
00 18 46.2|-15 20 40|  73| | 5|13.0
00 18 54.5|+30 03 19|  74| | 5|16.0
00 19 29.2|+06 25 19|  75| | 5|15.0
00 19 36.5|+29 56 19|  76| | 5|14.0
00 19 09.8|-22 41 40|  77| | 5|15.0
00 20 23.0|+00 49 19|  78|A| 5|14.5
00 20 23.0|+00 49 19|  78|B| 5|
00 21 00.2|+22 34 19|  79| | 5|15.0
00 21 12.2|+22 21 19|  80| | 5|13.5
00 21 12.2|+22 22 19|  81| | 5|
00 21 24.2|+22 27 19|  82| | 7|
00 21 24.2|+22 25 19|  83| | 5|14.5
00 21 30.2|+22 36 19|  84| | 5|17.0
00 21 24.2|+22 30 19|  85|A| 5|15.5
00 21 24.2|+22 30 19|  85|B| 5|15.5
00 21 30.2|+22 33 19|  86| | 5|15.0
00 21 13.5|-48 37 41|  87| | 5|
00 21 19.5|-48 38 41|  88| | 5|
00 21 19.5|-48 40 41|  89| | 5|
00 21 54.2|+22 25 19|  90| | 7|
00 21 48.2|+22 24 19|  91| | 5|14.5
00 21 31.5|-48 37 41|  92| | 5|
00 22 00.2|+22 25 19|  93| | 5|14.5
00 22 12.2|+22 28 19|  94| | 5|15.5
00 22 11.5|+10 29 19|  95| | 5|13.5
00 22 18.2|+22 33 19|  96| | 5|17.0
00 22 24.7|+29 44 19|  97| | 5|13.5
00 22 49.7|-45 16 41|  98| | 0|
00 23 47.9|+15 45 18|  99| | 5|14.0
00 23 59.9|+16 29 18| 100| | 5|14.5
00 23 56.8|-32 33 41| 101| | 5|13.0
00 24 22.1|-13 56 41| 102| | 5|14.0
00 25 17.5|+61 20 18| 103| | 1|11.0
00 24 06.3|-72 04 41| 104| | 2| 4.5
00 25 17.7|+12 52 18| 105| | 5|14.0
00 24 46.6|-05 09 42| 106| | 5|
00 25 40.4|-08 16 42| 107| | 5|
00 25 55.0|+29 13 18| 108| | 5|13.5
00 26 12.4|+21 49 18| 109| | 5|15.0
00 27 22.4|+71 23 17| 110| | 1|
00 26 40.7|-02 37 42| 111| | 7|
00 26 43.3|+31 43 18| 112| | 5|14.5
00 26 58.8|-02 29 42| 113| | 5|13.5
00 27 04.8|-01 46 42| 114| | 5|15.0
00 26 50.4|-33 40 42| 115| | 5|
00 27 10.4|-07 41 42| 116| | 5|14.5
00 27 11.0|+01 19 18| 117| | 5|15.5
00 27 16.8|-01 46 42| 118| | 5|15.0
00 27 05.0|-56 58 42| 119| | 5|
00 27 28.8|-01 30 42| 120| | 5|15.0
00 26 47.4|-71 32 42| 121| |29|11.0
